Title,page_no,recitation_no,recitation,image_pages,ayet_sayisi,etiketler,sureler
Sayfa 81,81,1,public://quran_audio/alafasy-Sayfa081.mp3,public://quran_images/sayfa-081.png,4,,
Sayfa 82,82,1,public://quran_audio/alafasy-Sayfa082.mp3,public://quran_images/sayfa-082.png,3,,
Sayfa 83,83,1,public://quran_audio/alafasy-Sayfa083.mp3,public://quran_images/sayfa-083.png,7,,
Sayfa 84,84,1,public://quran_audio/alafasy-Sayfa084.mp3,public://quran_images/sayfa-084.png,4,,
Sayfa 85,85,1,public://quran_audio/alafasy-Sayfa085.mp3,public://quran_images/sayfa-085.png,7,,
Sayfa 86,86,1,public://quran_audio/alafasy-Sayfa086.mp3,public://quran_images/sayfa-086.png,7,,
Sayfa 87,87,1,public://quran_audio/alafasy-Sayfa087.mp3,public://quran_images/sayfa-087.png,8,,
Sayfa 88,88,1,public://quran_audio/alafasy-Sayfa088.mp3,public://quran_images/sayfa-088.png,6,,
Sayfa 89,89,1,public://quran_audio/alafasy-Sayfa089.mp3,public://quran_images/sayfa-089.png,9,,
Sayfa 90,90,1,public://quran_audio/alafasy-Sayfa090.mp3,public://quran_images/sayfa-090.png,5,,
Sayfa 91,91,1,public://quran_audio/alafasy-Sayfa091.mp3,public://quran_images/sayfa-091.png,7,,
Sayfa 92,92,1,public://quran_audio/alafasy-Sayfa092.mp3,public://quran_images/sayfa-092.png,5,,
Sayfa 93,93,1,public://quran_audio/alafasy-Sayfa093.mp3,public://quran_images/sayfa-093.png,3,,
Sayfa 94,94,1,public://quran_audio/alafasy-Sayfa094.mp3,public://quran_images/sayfa-094.png,7,,
Sayfa 95,95,1,public://quran_audio/alafasy-Sayfa095.mp3,public://quran_images/sayfa-095.png,4,,
Sayfa 96,96,1,public://quran_audio/alafasy-Sayfa096.mp3,public://quran_images/sayfa-096.png,8,,
Sayfa 97,97,1,public://quran_audio/alafasy-Sayfa097.mp3,public://quran_images/sayfa-097.png,8,,
Sayfa 98,98,1,public://quran_audio/alafasy-Sayfa098.mp3,public://quran_images/sayfa-098.png,6,,
Sayfa 99,99,1,public://quran_audio/alafasy-Sayfa099.mp3,public://quran_images/sayfa-099.png,7,,
Sayfa 100,100,1,public://quran_audio/alafasy-Sayfa100.mp3,public://quran_images/sayfa-100.png,6,,
Sayfa 101,101,1,public://quran_audio/alafasy-Sayfa101.mp3,public://quran_images/sayfa-101.png,7,,
Sayfa 102,102,1,public://quran_audio/alafasy-Sayfa102.mp3,public://quran_images/sayfa-102.png,7,,
Sayfa 103,103,1,public://quran_audio/alafasy-Sayfa103.mp3,public://quran_images/sayfa-103.png,8,,
Sayfa 104,104,1,public://quran_audio/alafasy-Sayfa104.mp3,public://quran_images/sayfa-104.png,8,,
Sayfa 105,105,1,public://quran_audio/alafasy-Sayfa105.mp3,public://quran_images/sayfa-105.png,5,,
Sayfa 106,106,1,public://quran_audio/alafasy-Sayfa106.mp3,public://quran_images/sayfa-106.png,3,,
Sayfa 107,107,1,public://quran_audio/alafasy-Sayfa107.mp3,public://quran_images/sayfa-107.png,3,,
Sayfa 108,108,1,public://quran_audio/alafasy-Sayfa108.mp3,public://quran_images/sayfa-108.png,4,,
Sayfa 109,109,1,public://quran_audio/alafasy-Sayfa109.mp3,public://quran_images/sayfa-109.png,4,,
Sayfa 110,110,1,public://quran_audio/alafasy-Sayfa110.mp3,public://quran_images/sayfa-110.png,4,,
Sayfa 111,111,1,public://quran_audio/alafasy-Sayfa111.mp3,public://quran_images/sayfa-111.png,6,,
Sayfa 112,112,1,public://quran_audio/alafasy-Sayfa112.mp3,public://quran_images/sayfa-112.png,8,,
Sayfa 113,113,1,public://quran_audio/alafasy-Sayfa113.mp3,public://quran_images/sayfa-113.png,5,,
Sayfa 114,114,1,public://quran_audio/alafasy-Sayfa114.mp3,public://quran_images/sayfa-114.png,5,,
Sayfa 115,115,1,public://quran_audio/alafasy-Sayfa115.mp3,public://quran_images/sayfa-115.png,4,,
Sayfa 116,116,1,public://quran_audio/alafasy-Sayfa116.mp3,public://quran_images/sayfa-116.png,5,,
Sayfa 117,117,1,public://quran_audio/alafasy-Sayfa117.mp3,public://quran_images/sayfa-117.png,7,,
Sayfa 118,118,1,public://quran_audio/alafasy-Sayfa118.mp3,public://quran_images/sayfa-118.png,7,,
Sayfa 119,119,1,public://quran_audio/alafasy-Sayfa119.mp3,public://quran_images/sayfa-119.png,6,,
Sayfa 120,120,1,public://quran_audio/alafasy-Sayfa120.mp3,public://quran_images/sayfa-120.png,7,,
Sayfa 121,121,1,public://quran_audio/alafasy-Sayfa121.mp3,public://quran_images/sayfa-121.png,6,,
Sayfa 122,122,1,public://quran_audio/alafasy-Sayfa122.mp3,public://quran_images/sayfa-122.png,7,,
Sayfa 123,123,1,public://quran_audio/alafasy-Sayfa123.mp3,public://quran_images/sayfa-123.png,5,,
Sayfa 124,124,1,public://quran_audio/alafasy-Sayfa124.mp3,public://quran_images/sayfa-124.png,8,,
Sayfa 125,125,1,public://quran_audio/alafasy-Sayfa125.mp3,public://quran_images/sayfa-125.png,5,,
Sayfa 126,126,1,public://quran_audio/alafasy-Sayfa126.mp3,public://quran_images/sayfa-126.png,5,,
Sayfa 127,127,1,public://quran_audio/alafasy-Sayfa127.mp3,public://quran_images/sayfa-127.png,7,,
Sayfa 128,128,1,public://quran_audio/alafasy-Sayfa128.mp3,public://quran_images/sayfa-128.png,8,,
Sayfa 129,129,1,public://quran_audio/alafasy-Sayfa129.mp3,public://quran_images/sayfa-129.png,10,,
Sayfa 130,130,1,public://quran_audio/alafasy-Sayfa130.mp3,public://quran_images/sayfa-130.png,9,,
Sayfa 131,131,1,public://quran_audio/alafasy-Sayfa131.mp3,public://quran_images/sayfa-131.png,8,,
Sayfa 132,132,1,public://quran_audio/alafasy-Sayfa132.mp3,public://quran_images/sayfa-132.png,9,,
Sayfa 133,133,1,public://quran_audio/alafasy-Sayfa133.mp3,public://quran_images/sayfa-133.png,8,,
Sayfa 134,134,1,public://quran_audio/alafasy-Sayfa134.mp3,public://quran_images/sayfa-134.png,7,,
Sayfa 135,135,1,public://quran_audio/alafasy-Sayfa135.mp3,public://quran_images/sayfa-135.png,9,,
Sayfa 136,136,1,public://quran_audio/alafasy-Sayfa136.mp3,public://quran_images/sayfa-136.png,5,,
Sayfa 137,137,1,public://quran_audio/alafasy-Sayfa137.mp3,public://quran_images/sayfa-137.png,8,,
Sayfa 138,138,1,public://quran_audio/alafasy-Sayfa138.mp3,public://quran_images/sayfa-138.png,9,,
Sayfa 139,139,1,public://quran_audio/alafasy-Sayfa139.mp3,public://quran_images/sayfa-139.png,4,,
Sayfa 140,140,1,public://quran_audio/alafasy-Sayfa140.mp3,public://quran_images/sayfa-140.png,7,,
Sayfa 141,141,1,public://quran_audio/alafasy-Sayfa141.mp3,public://quran_images/sayfa-141.png,9,,
Sayfa 142,142,1,public://quran_audio/alafasy-Sayfa142.mp3,public://quran_images/sayfa-142.png,8,,
Sayfa 143,143,1,public://quran_audio/alafasy-Sayfa143.mp3,public://quran_images/sayfa-143.png,6,,
Sayfa 144,144,1,public://quran_audio/alafasy-Sayfa144.mp3,public://quran_images/sayfa-144.png,6,,
Sayfa 145,145,1,public://quran_audio/alafasy-Sayfa145.mp3,public://quran_images/sayfa-145.png,7,,
Sayfa 146,146,1,public://quran_audio/alafasy-Sayfa146.mp3,public://quran_images/sayfa-146.png,5,,
Sayfa 147,147,1,public://quran_audio/alafasy-Sayfa147.mp3,public://quran_images/sayfa-147.png,4,,
Sayfa 148,148,1,public://quran_audio/alafasy-Sayfa148.mp3,public://quran_images/sayfa-148.png,5,,
Sayfa 149,149,1,public://quran_audio/alafasy-Sayfa149.mp3,public://quran_images/sayfa-149.png,6,,
Sayfa 150,150,1,public://quran_audio/alafasy-Sayfa150.mp3,public://quran_images/sayfa-150.png,8,,
Sayfa 151,151,1,public://quran_audio/alafasy-Sayfa151.mp3,public://quran_images/sayfa-151.png,11,,
Sayfa 152,152,1,public://quran_audio/alafasy-Sayfa152.mp3,public://quran_images/sayfa-152.png,11,,
Sayfa 153,153,1,public://quran_audio/alafasy-Sayfa153.mp3,public://quran_images/sayfa-153.png,8,,
Sayfa 154,154,1,public://quran_audio/alafasy-Sayfa154.mp3,public://quran_images/sayfa-154.png,7,,
Sayfa 155,155,1,public://quran_audio/alafasy-Sayfa155.mp3,public://quran_images/sayfa-155.png,6,,
Sayfa 156,156,1,public://quran_audio/alafasy-Sayfa156.mp3,public://quran_images/sayfa-156.png,8,,
Sayfa 157,157,1,public://quran_audio/alafasy-Sayfa157.mp3,public://quran_images/sayfa-157.png,6,,
Sayfa 158,158,1,public://quran_audio/alafasy-Sayfa158.mp3,public://quran_images/sayfa-158.png,10,,
Sayfa 159,159,1,public://quran_audio/alafasy-Sayfa159.mp3,public://quran_images/sayfa-159.png,6,,
Sayfa 160,160,1,public://quran_audio/alafasy-Sayfa160.mp3,public://quran_images/sayfa-160.png,8,,
Sayfa 161,161,1,public://quran_audio/alafasy-Sayfa161.mp3,public://quran_images/sayfa-161.png,6,,
Sayfa 162,162,1,public://quran_audio/alafasy-Sayfa162.mp3,public://quran_images/sayfa-162.png,8,,
Sayfa 163,163,1,public://quran_audio/alafasy-Sayfa163.mp3,public://quran_images/sayfa-163.png,9,,
Sayfa 164,164,1,public://quran_audio/alafasy-Sayfa164.mp3,public://quran_images/sayfa-164.png,16,,
Sayfa 165,165,1,public://quran_audio/alafasy-Sayfa165.mp3,public://quran_images/sayfa-165.png,10,,
Sayfa 166,166,1,public://quran_audio/alafasy-Sayfa166.mp3,public://quran_images/sayfa-166.png,7,,
Sayfa 167,167,1,public://quran_audio/alafasy-Sayfa167.mp3,public://quran_images/sayfa-167.png,6,,
Sayfa 168,168,1,public://quran_audio/alafasy-Sayfa168.mp3,public://quran_images/sayfa-168.png,6,,
Sayfa 169,169,1,public://quran_audio/alafasy-Sayfa169.mp3,public://quran_images/sayfa-169.png,6,,
Sayfa 170,170,1,public://quran_audio/alafasy-Sayfa170.mp3,public://quran_images/sayfa-170.png,4,,
Sayfa 171,171,1,public://quran_audio/alafasy-Sayfa171.mp3,public://quran_images/sayfa-171.png,4,,
Sayfa 172,172,1,public://quran_audio/alafasy-Sayfa172.mp3,public://quran_images/sayfa-172.png,7,,
Sayfa 173,173,1,public://quran_audio/alafasy-Sayfa173.mp3,public://quran_images/sayfa-173.png,8,,
Sayfa 174,174,1,public://quran_audio/alafasy-Sayfa174.mp3,public://quran_images/sayfa-174.png,9,,
Sayfa 175,175,1,public://quran_audio/alafasy-Sayfa175.mp3,public://quran_images/sayfa-175.png,8,,
Sayfa 176,176,1,public://quran_audio/alafasy-Sayfa176.mp3,public://quran_images/sayfa-176.png,11,,
Sayfa 177,177,1,public://quran_audio/alafasy-Sayfa177.mp3,public://quran_images/sayfa-177.png,8,,
Sayfa 178,178,1,public://quran_audio/alafasy-Sayfa178.mp3,public://quran_images/sayfa-178.png,8,,
Sayfa 179,179,1,public://quran_audio/alafasy-Sayfa179.mp3,public://quran_images/sayfa-179.png,9,,
Sayfa 180,180,1,public://quran_audio/alafasy-Sayfa180.mp3,public://quran_images/sayfa-180.png,8,,
Sayfa 181,181,1,public://quran_audio/alafasy-Sayfa181.mp3,public://quran_images/sayfa-181.png,7,,
Sayfa 182,182,1,public://quran_audio/alafasy-Sayfa182.mp3,public://quran_images/sayfa-182.png,5,,
Sayfa 183,183,1,public://quran_audio/alafasy-Sayfa183.mp3,public://quran_images/sayfa-183.png,7,,
Sayfa 184,184,1,public://quran_audio/alafasy-Sayfa184.mp3,public://quran_images/sayfa-184.png,9,,
Sayfa 185,185,1,public://quran_audio/alafasy-Sayfa185.mp3,public://quran_images/sayfa-185.png,8,,
Sayfa 186,186,1,public://quran_audio/alafasy-Sayfa186.mp3,public://quran_images/sayfa-186.png,6,,
Sayfa 187,187,1,public://quran_audio/alafasy-Sayfa187.mp3,public://quran_images/sayfa-187.png,6,,
Sayfa 188,188,1,public://quran_audio/alafasy-Sayfa188.mp3,public://quran_images/sayfa-188.png,7,,
Sayfa 189,189,1,public://quran_audio/alafasy-Sayfa189.mp3,public://quran_images/sayfa-189.png,7,,
Sayfa 190,190,1,public://quran_audio/alafasy-Sayfa190.mp3,public://quran_images/sayfa-190.png,6,,
Sayfa 191,191,1,public://quran_audio/alafasy-Sayfa191.mp3,public://quran_images/sayfa-191.png,5,,
Sayfa 192,192,1,public://quran_audio/alafasy-Sayfa192.mp3,public://quran_images/sayfa-192.png,5,,
Sayfa 193,193,1,public://quran_audio/alafasy-Sayfa193.mp3,public://quran_images/sayfa-193.png,4,,
Sayfa 194,194,1,public://quran_audio/alafasy-Sayfa194.mp3,public://quran_images/sayfa-194.png,7,,
Sayfa 195,195,1,public://quran_audio/alafasy-Sayfa195.mp3,public://quran_images/sayfa-195.png,7,,
Sayfa 196,196,1,public://quran_audio/alafasy-Sayfa196.mp3,public://quran_images/sayfa-196.png,7,,
Sayfa 197,197,1,public://quran_audio/alafasy-Sayfa197.mp3,public://quran_images/sayfa-197.png,7,,
Sayfa 198,198,1,public://quran_audio/alafasy-Sayfa198.mp3,public://quran_images/sayfa-198.png,4,,
Sayfa 199,199,1,public://quran_audio/alafasy-Sayfa199.mp3,public://quran_images/sayfa-199.png,7,,
Sayfa 200,200,1,public://quran_audio/alafasy-Sayfa200.mp3,public://quran_images/sayfa-200.png,7,,
Sayfa 201,201,1,public://quran_audio/alafasy-Sayfa201.mp3,public://quran_images/sayfa-201.png,7,,
Sayfa 202,202,1,public://quran_audio/alafasy-Sayfa202.mp3,public://quran_images/sayfa-202.png,6,,
Sayfa 203,203,1,public://quran_audio/alafasy-Sayfa203.mp3,public://quran_images/sayfa-203.png,7,,
Sayfa 204,204,1,public://quran_audio/alafasy-Sayfa204.mp3,public://quran_images/sayfa-204.png,5,,
Sayfa 205,205,1,public://quran_audio/alafasy-Sayfa205.mp3,public://quran_images/sayfa-205.png,6,,
Sayfa 206,206,1,public://quran_audio/alafasy-Sayfa206.mp3,public://quran_images/sayfa-206.png,5,,
Sayfa 207,207,1,public://quran_audio/alafasy-Sayfa207.mp3,public://quran_images/sayfa-207.png,7,,
Sayfa 208,208,1,public://quran_audio/alafasy-Sayfa208.mp3,public://quran_images/sayfa-208.png,6,,
Sayfa 209,209,1,public://quran_audio/alafasy-Sayfa209.mp3,public://quran_images/sayfa-209.png,8,,
Sayfa 210,210,1,public://quran_audio/alafasy-Sayfa210.mp3,public://quran_images/sayfa-210.png,6,,
Sayfa 211,211,1,public://quran_audio/alafasy-Sayfa211.mp3,public://quran_images/sayfa-211.png,5,,
Sayfa 212,212,1,public://quran_audio/alafasy-Sayfa212.mp3,public://quran_images/sayfa-212.png,8,,
Sayfa 213,213,1,public://quran_audio/alafasy-Sayfa213.mp3,public://quran_images/sayfa-213.png,9,,
Sayfa 214,214,1,public://quran_audio/alafasy-Sayfa214.mp3,public://quran_images/sayfa-214.png,11,,
